"year","doy","hhmm","Temp","VPD","Sensor1","Sensor2","Sensor3","Sensor4","Sensor5"
2011,155,30,11.87,0.080937166,2.74756535342932,3.40542148300783,NA,NA,NA
2011,155,100,11.35,0.063773146,2.07084833246015,2.81927425452085,NA,NA,NA
2011,155,130,10.91,0.049326009,1.72582834529315,2.39143333062947,NA,NA,NA
2011,155,200,10.49,0.038426974,1.23819145849027,1.75988491684241,NA,NA,NA
2011,155,230,10.15,0.030903966,0.862427066517,1.08877481182124,NA,NA,NA
2011,155,300,9.74,0.026178665,0.652343261786335,0.9138162936633,NA,NA,NA
2011,155,330,9.39,0.017975667,0.51964652364984,0.9138162936633,NA,NA,NA
2011,155,400,9.24,0.012783103,0.166714931834358,0.448985161272908,NA,NA,NA
2011,155,430,9.07,0.007682681,0.116824177578931,0.0954056817228735,NA,NA,NA
2011,155,500,8.93,0.005156362,0,0,NA,NA,NA
2011,155,530,8.88,0.000247519,0,0,NA,NA,NA
2011,155,600,9.31,0,0,0,NA,NA,NA
2011,155,630,10.16,0,0,0,NA,NA,NA
2011,155,700,11.64,0,0.665990183090626,0,NA,NA,NA
2011,155,730,14.26,0,7.40511909908479,6.03777423900369,NA,NA,NA
2011,155,800,17.27,0.417190388,20.6036370756395,22.5204144161849,NA,NA,NA
2011,155,830,21.06,1.374247049,40.1388866361779,46.8488046072275,NA,NA,NA
2011,155,900,23.37,1.671421664,51.7101571379596,61.4138693752685,NA,NA,NA
2011,155,930,24.2,2.05300417,54.2921378474212,66.5682988840958,NA,NA,NA
2011,155,1000,24.73,2.187070265,60.8722880760177,66.3983294148749,NA,NA,NA
2011,155,1030,25.3,2.299987775,64.6595380359696,66.1793906000155,NA,NA,NA
2011,155,1100,26.02,2.541550753,64.3020451950071,67.6394949055692,NA,NA,NA
2011,155,1130,26.54,2.540227084,60.5400070860731,66.9215154868945,NA,NA,NA
2011,155,1200,27.39,2.77433239,55.0484677651139,68.8033421050739,NA,NA,NA
2011,155,1230,27.8,2.671464797,52.8468534377314,66.8268147748099,NA,NA,NA
2011,155,1300,28.39,2.756457774,52.6017431358818,66.0145565353929,NA,NA,NA
2011,155,1330,28.98,2.878066365,51.3893411532901,64.3853377934794,NA,NA,NA
2011,155,1400,29.57,2.847438616,51.5254062066642,60.9166135556191,NA,NA,NA
2011,155,1430,29.18,2.978867717,52.425298911377,58.0331486726593,NA,NA,NA
2011,155,1500,29.29,2.860929208,52.0415800109098,54.3546468221455,NA,NA,NA
2011,155,1530,28.99,2.869843108,52.703888661991,51.9456991982305,NA,NA,NA
2011,155,1600,29.16,2.82913469,54.4802564610473,50.2097986293794,NA,NA,NA
2011,155,1630,28.5,2.669646791,55.313940016483,48.2786436404941,NA,NA,NA
2011,155,1700,27.79,2.213230208,52.8078427593392,46.3973236775205,NA,NA,NA
2011,155,1730,27.35,2.392706727,42.7965710435977,41.3955332277094,NA,NA,NA
2011,155,1800,26.67,1.719383282,37.0277578273235,34.8415163557432,NA,NA,NA
2011,155,1830,25.37,1.203123878,31.5252125638251,27.3593144703749,NA,NA,NA
2011,155,1900,24.06,0.973709779,26.2665140860255,20.8913842164158,NA,NA,NA
2011,155,1930,22.76,0.820324512,19.9776054037869,15.2694377226922,NA,NA,NA
2011,155,2000,20.93,0.593513229,13.3430492156503,10.9252477013277,NA,NA,NA
2011,155,2030,19.35,0.408045458,9.93727064432389,8.77216962633489,NA,NA,NA
2011,155,2100,18.17,0.314070589,7.69603819517401,7.04734742227875,NA,NA,NA
2011,155,2130,17.65,0.258432839,6.64812769054857,6.30858555314236,NA,NA,NA
2011,155,2200,17.26,0.269068625,5.3553387498652,5.28806280037714,NA,NA,NA
2011,155,2230,17.09,0.276652712,4.32567945411563,4.41452447404518,NA,NA,NA
2011,155,2300,17.04,0.250745635,3.65183520987207,3.61197994592022,NA,NA,NA
2011,155,2330,16.83,0.204202021,2.88132296017994,2.91311941722671,NA,NA,NA
2011,155,2400,16.56,0.160260925,2.28975072598191,2.18895037617147,NA,NA,NA
2011,156,30,16.36,0.136257775,1.79457718181293,1.67067369546483,NA,NA,NA
2011,156,100,16.02,0.088370249,1.46177723550889,1.76317026105646,NA,NA,NA
2011,156,130,15.99,0.082347346,1.22491070545866,1.25315819957793,NA,NA,NA
2011,156,200,15.95,0.072405843,0.846950851323385,0.751434652935503,NA,NA,NA
2011,156,230,15.8,0.064004013,0.569586599131402,0.741742599990286,NA,NA,NA
2011,156,300,15.79,0.04662495,0.398497228072464,0.386012455657631,NA,NA,NA
2011,156,330,16.06,0.045476475,0.241171184422022,0.304157092133727,NA,NA,NA
2011,156,400,16.41,0.052515263,0.152958600503882,0.206312056806378,NA,NA,NA
2011,156,430,16.56,0.053018873,0,0,NA,NA,NA
2011,156,500,16.92,0.056315058,0.00188924281939642,0,NA,NA,NA
2011,156,530,17.33,0.068419219,0.00443461278663147,0.0302634682137783,NA,NA,NA
2011,156,600,17.6,0.06959559,0.190414754204482,0.186629079446821,NA,NA,NA
2011,156,630,17.86,0.046579323,0.373037522505536,0.486562734634889,NA,NA,NA
2011,156,700,18.03,0.022654513,0.201583872037709,0.280202553142345,NA,NA,NA
2011,156,730,18.27,0.002710506,0.207212706170107,0.156016521126568,NA,NA,NA
2011,156,800,18.83,0,0.39210273202246,0.380530572140133,NA,NA,NA
2011,156,830,19.42,0,0.336180364163967,0.406155594765107,NA,NA,NA
2011,156,900,20.23,0,0.224270356500888,0.298657511993012,NA,NA,NA
2011,156,930,20.73,0.011037936,0.840480784977417,0.788944391779506,NA,NA,NA
2011,156,1000,20.82,0.087692813,2.31904650235894,2.76216246391682,NA,NA,NA
2011,156,1030,21.22,0.157544722,3.48750983492003,4.47021895017083,NA,NA,NA
2011,156,1100,22.44,0.455498117,11.8981323711033,14.6462807420561,NA,NA,NA
2011,156,1130,22.8,0.391042955,20.6107380576329,27.5017681085214,NA,NA,NA
2011,156,1200,22.9,0.414407877,22.724254328296,27.9869795285912,NA,NA,NA
2011,156,1230,23.36,0.658242533,27.4239179460073,32.4091434255865,NA,NA,NA
2011,156,1300,25.67,1.173404175,39.5531687690785,47.92720889642,NA,NA,NA
2011,156,1330,26.85,1.099755486,46.1619278850427,51.7374558351177,NA,NA,NA
2011,156,1400,25.55,0.775672234,42.3438193396338,44.4653959652767,NA,NA,NA
2011,156,1430,25.36,0.827441031,39.4124611877285,42.32625917239,NA,NA,NA
2011,156,1500,26.13,0.926428767,42.1433365410026,46.4770126233207,NA,NA,NA
2011,156,1530,25.43,0.651172163,39.0771929834335,42.0196797411302,NA,NA,NA
2011,156,1600,24.66,0.59265871,33.8691730773339,34.1275841434142,NA,NA,NA
2011,156,1630,24.27,0.620676953,29.2836241814934,29.2352500742558,NA,NA,NA
2011,156,1700,24.33,0.813442257,29.0848448152936,30.6493805757741,NA,NA,NA
2011,156,1730,24.25,0.829394642,30.0530580046209,33.6509908861873,NA,NA,NA
2011,156,1800,24.16,0.81069947,32.487189687825,35.8057996918967,NA,NA,NA
2011,156,1830,23.66,0.694734108,29.2132929744531,30.4985560325774,NA,NA,NA
2011,156,1900,22.92,0.544904613,24.7106327234971,22.7527283416478,NA,NA,NA
2011,156,1930,21.96,0.368749843,18.814045706881,16.1822816198246,NA,NA,NA
2011,156,2000,20.82,0.232956507,13.7971542776022,11.8082938415409,NA,NA,NA
2011,156,2030,20.48,0.210024065,9.94985605078189,8.15079797415423,NA,NA,NA
2011,156,2100,19.9,0.162702629,7.06853778440337,5.8303382337478,NA,NA,NA
2011,156,2130,19.19,0.11270427,5.0388222775765,4.54119866682905,NA,NA,NA
2011,156,2200,18.69,0.081469601,3.78407166338223,3.46317531017176,NA,NA,NA
2011,156,2230,18.38,0.048125908,3.00028881620505,2.79314418700883,NA,NA,NA
2011,156,2300,18.38,0.029967253,2.37983815348619,2.2178388774493,NA,NA,NA
2011,156,2330,18.34,0.023099752,2.11116597646734,2.02576097486943,NA,NA,NA
2011,156,2400,18,0.015962861,1.59051529777758,1.67143960007695,NA,NA,NA
2011,157,30,17.76,0.009174274,1.17060516621404,1.09519952915834,NA,NA,NA
2011,157,100,17.65,0.006942879,0.870669880904579,0.835515801557196,NA,NA,NA
2011,157,130,17.34,0.004682334,0.73918196779726,0.743323693968942,NA,NA,NA
2011,157,200,17.08,0.000423305,0.497770488168041,0.444434188997544,NA,NA,NA
2011,157,230,16.88,0.000417973,0.375792654101969,0.298945946252214,NA,NA,NA
2011,157,300,16.53,0.000408783,0.100998846150965,0.21883106737398,NA,NA,NA
2011,157,330,16.34,0,0.0597392203245278,0.119973515688885,NA,NA,NA
2011,157,400,16.27,0,0.110875872385926,0,NA,NA,NA
2011,157,430,15.98,0,0.0273090041072277,0.00211562325763486,NA,NA,NA
2011,157,500,15.7,0,0,0.0147251844755755,NA,NA,NA
2011,157,530,15.61,0,0,0,NA,NA,NA
2011,157,600,15.96,0,0,0,NA,NA,NA
2011,157,630,16.76,0,0,0,NA,NA,NA
2011,157,700,18,0,0,0,NA,NA,NA
2011,157,730,19.66,0,0,0,NA,NA,NA
2011,157,800,20.62,0,3.22820399450072,2.49627328156436,NA,NA,NA
2011,157,830,21.8,0.463329632,14.9880846051315,17.8532160441528,NA,NA,NA
2011,157,900,23.44,0.79618735,26.6329087321997,34.1669306705276,NA,NA,NA
2011,157,930,24.19,0.868873012,37.4656148371899,47.8592897428504,NA,NA,NA
2011,157,1000,24.97,1.061426064,43.1698619374404,52.3125195316125,NA,NA,NA
2011,157,1030,25.49,1.172852775,46.6161249520277,56.3461242380948,NA,NA,NA
2011,157,1100,25.9,1.565534829,50.2865389652219,57.3703581304379,NA,NA,NA
2011,157,1130,26.81,1.606383416,51.7716795713571,57.9505908935442,NA,NA,NA
2011,157,1200,27.04,1.593297367,51.8338249872793,55.6002372482686,NA,NA,NA
