Year,DOY,HHMM,Temp,VPD,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
2011,155,30,11.87,0.080937166,7.986,6.738,10.86,7.823,7.873
2011,155,100,11.35,0.063773146,8.06,6.789,10.93,7.918,7.943
2011,155,130,10.91,0.049326009,8.1,6.828,11,7.974,8.02
2011,155,200,10.49,0.038426974,8.16,6.889,11.06,8.07,8.08
2011,155,230,10.15,0.030903966,8.21,6.96,11.14,8.1,8.15
2011,155,300,9.74,0.026178665,8.24,6.98,11.17,8.15,8.18
2011,155,330,9.39,0.017975667,8.26,6.98,11.19,8.2,8.19
2011,155,400,9.24,0.012783103,8.32,7.038,11.25,8.25,8.25
2011,155,430,9.07,0.007682681,8.33,7.092,11.26,8.3,8.28
2011,155,500,8.93,0.005156362,8.36,7.12,11.27,8.32,8.3
2011,155,530,8.88,0.000247519,8.39,7.129,11.32,8.37,8.33
2011,155,600,9.31,0,8.41,7.157,11.34,8.4,8.36
2011,155,630,10.16,0,8.4,7.157,11.31,8.38,8.37
2011,155,700,11.64,0,8.22,7.094,11.01,8.15,8.32
2011,155,730,14.26,0,7.545,6.507,10.13,7.311,7.886
2011,155,800,17.27,0.417190388,6.714,5.623,8.98,6.231,6.94
2011,155,830,21.06,1.374247049,5.888,4.813,7.9,5.652,5.774
2011,155,900,23.37,1.671421664,5.515,4.458,7.359,5.47,5.013
2011,155,930,24.2,2.05300417,5.437,4.345,7.188,5.364,4.863
2011,155,1000,24.73,2.187070265,5.256,4.344,7.121,5.248,4.902
2011,155,1030,25.3,2.299987775,5.157,4.344,7.018,5.212,4.863
2011,155,1100,26.02,2.541550753,5.162,4.31,6.915,5.248,4.723
2011,155,1130,26.54,2.540227084,5.253,4.32,6.775,5.289,4.534
2011,155,1200,27.39,2.77433239,5.396,4.278,6.7,5.333,4.537
2011,155,1230,27.8,2.671464797,5.454,4.313,6.661,5.382,4.599
2011,155,1300,28.39,2.756457774,5.457,4.325,6.65,5.447,4.701
2011,155,1330,28.98,2.878066365,5.488,4.354,6.672,5.459,4.809
2011,155,1400,29.57,2.847438616,5.48,4.423,6.672,5.467,4.849
2011,155,1430,29.18,2.978867717,5.45,4.482,6.498,5.479,4.889
2011,155,1500,29.29,2.860929208,5.457,4.562,6.368,5.504,4.882
2011,155,1530,28.99,2.869843108,5.434,4.615,6.435,5.539,4.931
2011,155,1600,29.16,2.82913469,5.38,4.653,6.879,5.579,5.125
2011,155,1630,28.5,2.669646791,5.353,4.697,7.089,5.604,5.252
2011,155,1700,27.79,2.213230208,5.419,4.741,7.26,5.641,5.203
2011,155,1730,27.35,2.392706727,5.721,4.873,7.45,5.72,5.343
2011,155,1800,26.67,1.719383282,5.916,5.065,7.681,5.851,5.627
2011,155,1830,25.37,1.203123878,6.121,5.315,8.14,6.035,5.935
2011,155,1900,24.06,0.973709779,6.338,5.564,8.58,6.219,6.241
2011,155,1930,22.76,0.820324512,6.633,5.814,9.12,6.473,6.535
2011,155,2000,20.93,0.593513229,7,6.036,9.56,6.78,6.791
2011,155,2030,19.35,0.408045458,7.217,6.156,9.88,7,6.996
2011,155,2100,18.17,0.314070589,7.374,6.259,10.06,7.146,7.137
2011,155,2130,17.65,0.258432839,7.45,6.302,10.2,7.242,7.229
2011,155,2200,17.26,0.269068625,7.551,6.367,10.28,7.351,7.34
2011,155,2230,17.09,0.276652712,7.636,6.425,10.38,7.436,7.423
2011,155,2300,17.04,0.250745635,7.693,6.481,10.46,7.491,7.496
2011,155,2330,16.83,0.204202021,7.763,6.532,10.55,7.55,7.562
2011,155,2400,16.56,0.160260925,7.819,6.589,10.63,7.605,7.619
2011,156,30,16.36,0.136257775,7.868,6.631,10.69,7.662,7.685
2011,156,100,16.02,0.088370249,7.901,6.615,10.69,7.711,7.74
2011,156,130,15.99,0.082347346,7.924,6.659,10.76,7.741,7.764
2011,156,200,15.95,0.072405843,7.967,6.707,10.8,7.765,7.806
2011,156,230,15.8,0.064004013,8,6.701,10.84,7.813,7.849
2011,156,300,15.79,0.04662495,8.02,6.738,10.87,7.837,7.869
2011,156,330,16.06,0.045476475,8.04,6.742,10.85,7.875,7.877
2011,156,400,16.41,0.052515263,8.05,6.749,10.87,7.871,7.87
2011,156,430,16.56,0.053018873,8.08,6.785,10.9,7.879,7.869
2011,156,500,16.92,0.056315058,8.08,6.783,10.87,7.883,7.868
2011,156,530,17.33,0.068419219,8.08,6.773,10.84,7.849,7.847
2011,156,600,17.6,0.06959559,8.04,6.746,10.75,7.743,7.806
2011,156,630,17.86,0.046579323,8.01,6.705,10.72,7.679,7.78
2011,156,700,18.03,0.022654513,8.04,6.733,10.78,7.749,7.798
2011,156,730,18.27,0.002710506,8.04,6.752,10.79,7.794,7.777
2011,156,800,18.83,0,8.01,6.72,10.75,7.768,7.696
2011,156,830,19.42,0,8.02,6.717,10.68,7.799,7.667
2011,156,900,20.23,0,8.04,6.732,10.67,7.784,7.63
2011,156,930,20.73,0.011037936,7.948,6.671,10.49,7.567,7.561
2011,156,1000,20.82,0.087692813,7.774,6.48,10.11,7.208,7.385
2011,156,1030,21.22,0.157544722,7.657,6.344,9.86,6.967,7.208
2011,156,1100,22.44,0.455498117,7.013,5.739,8.88,6.359,6.57
2011,156,1130,22.8,0.391042955,6.524,5.203,8.15,5.925,6.018
2011,156,1200,22.9,0.414407877,6.422,5.186,8.13,5.958,5.966
2011,156,1230,23.36,0.658242533,6.211,5.036,7.933,5.873,5.832
2011,156,1300,25.67,1.173404175,5.748,4.593,7.296,5.543,5.256
2011,156,1330,26.85,1.099755486,5.534,4.5,7.022,5.435,5.015
2011,156,1400,25.55,0.775672234,5.656,4.683,7.191,5.551,5.243
2011,156,1430,25.36,0.827441031,5.755,4.741,7.395,5.618,5.401
2011,156,1500,26.13,0.926428767,5.664,4.631,7.234,5.549,5.279
2011,156,1530,25.43,0.651172163,5.768,4.75,7.36,5.638,5.378
2011,156,1600,24.66,0.59265871,5.957,4.983,7.727,5.817,5.621
2011,156,1630,24.27,0.620676953,6.139,5.145,8,5.96,5.851
2011,156,1700,24.33,0.813442257,6.148,5.097,8.06,5.939,5.877
2011,156,1730,24.25,0.829394642,6.109,4.999,8.02,5.865,5.852
2011,156,1800,24.16,0.81069947,6.013,4.932,7.794,5.813,5.762
2011,156,1830,23.66,0.694734108,6.145,5.103,8.03,5.925,5.928
2011,156,1900,22.92,0.544904613,6.341,5.387,8.45,6.144,6.189
2011,156,1930,21.96,0.368749843,6.629,5.671,8.99,6.415,6.501
2011,156,2000,20.82,0.232956507,6.911,5.891,9.17,6.694,6.75
2011,156,2030,20.48,0.210024065,7.159,6.102,9.74,6.915,6.941
2011,156,2100,19.9,0.162702629,7.37,6.254,10.01,7.102,7.107
2011,156,2130,19.19,0.11270427,7.537,6.347,10.19,7.263,7.248
2011,156,2200,18.69,0.081469601,7.651,6.431,10.34,7.39,7.337
2011,156,2230,18.38,0.048125908,7.728,6.487,10.42,7.478,7.404
2011,156,2300,18.38,0.029967253,7.793,6.538,10.47,7.559,7.455
2011,156,2330,18.34,0.023099752,7.823,6.556,10.52,7.58,7.49
2011,156,2400,18,0.015962861,7.883,6.59,10.59,7.639,7.545
2011,157,30,17.76,0.009174274,7.935,6.649,10.66,7.729,7.597
2011,157,100,17.65,0.006942879,7.975,6.678,10.73,7.785,7.653
2011,157,130,17.34,0.004682334,7.994,6.689,10.77,7.802,7.67
2011,157,200,17.08,0.000423305,8.03,6.726,10.81,7.842,7.711
2011,157,230,16.88,0.000417973,8.05,6.746,10.84,7.869,7.747
2011,157,300,16.53,0.000408783,8.1,6.758,10.87,7.904,7.787
2011,157,330,16.34,0,8.11,6.774,10.86,7.915,7.803
2011,157,400,16.27,0,8.1,6.8,10.91,7.937,7.834
2011,157,430,15.98,0,8.12,6.798,10.93,7.953,7.873
2011,157,500,15.7,0,8.14,6.794,10.9,7.946,7.881
2011,157,530,15.61,0,8.13,6.8,10.92,7.959,7.875
2011,157,600,15.96,0,8.14,6.81,10.93,7.99,7.884
2011,157,630,16.76,0,8.17,6.817,10.89,7.997,7.85
2011,157,700,18,0,8.18,6.837,10.87,8.03,7.822
2011,157,730,19.66,0,8.15,6.822,10.81,7.977,7.777
2011,157,800,20.62,0,7.716,6.514,10.39,7.282,7.536
2011,157,830,21.8,0.463329632,6.854,5.597,9.09,6.291,6.694
2011,157,900,23.44,0.79618735,6.269,4.986,8.13,5.827,5.958
2011,157,930,24.19,0.868873012,5.842,4.6,7.535,5.574,5.42
2011,157,1000,24.97,1.061426064,5.648,4.491,7.301,5.466,5.214
2011,157,1030,25.49,1.172852775,5.539,4.398,7.088,5.371,5.082
2011,157,1100,25.9,1.565534829,5.429,4.375,7.003,5.35,4.999
2011,157,1130,26.81,1.606383416,5.386,4.362,6.95,5.346,4.901
2011,157,1200,27.04,1.593297367,5.384,4.414,6.914,5.38,4.867
2011,157,1230,27.37,1.659996507,5.352,4.449,6.869,5.399,4.869
